latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.8276,-63.0151,325.6,2.1,1.4,2021-01-02,227,Terra,MODIS,100,6.03,291.1,67.1,N,0
-18.8298,-63.0352,336.1,2.1,1.4,2021-01-02,227,Terra,MODIS,100,6.03,291.5,109.1,N,0
-18.4114,-62.4048,316.1,1.0,1.0,2021-01-02,533,Aqua,MODIS,92,6.03,291.2,13.6,N,0
-18.1611,-62.9123,315.3,1.0,1.0,2021-01-02,533,Aqua,MODIS,91,6.03,291.3,13.3,N,0
-18.8168,-63.02,322.2,1.0,1.0,2021-01-02,534,Aqua,MODIS,100,6.03,292.2,19.4,N,0
-18.8244,-63.031,341.2,1.0,1.0,2021-01-02,534,Aqua,MODIS,100,6.03,292.9,45.0,N,0
-18.8259,-63.0215,361.6,1.0,1.0,2021-01-02,534,Aqua,MODIS,100,6.03,294.9,90.5,N,0
-18.831,-63.0159,344.5,2.3,1.5,2021-01-02,1458,Terra,MODIS,93,6.03,295.7,146.9,D,0
-18.8263,-63.0222,347.9,2.3,1.5,2021-01-02,1458,Terra,MODIS,94,6.03,297.0,167.3,D,0
-18.0118,-62.2218,350.2,2.6,1.6,2021-01-02,1458,Terra,MODIS,96,6.03,293.1,218.1,D,0
-17.9327,-62.4331,339.8,2.5,1.5,2021-01-02,1458,Terra,MODIS,91,6.03,294.7,126.7,D,0
-17.9352,-62.4094,364.4,2.5,1.5,2021-01-02,1458,Terra,MODIS,100,6.03,295.9,341.8,D,0
-17.9263,-62.4268,345.9,2.5,1.5,2021-01-02,1458,Terra,MODIS,94,6.03,294.9,171.2,D,0
-17.929,-62.4031,344.7,2.5,1.5,2021-01-02,1458,Terra,MODIS,93,6.03,294.6,162.9,D,0
-21.7359,-63.4373,360.2,1.5,1.2,2021-01-02,1744,Aqua,MODIS,100,6.03,311.2,126.4,D,0
-21.7017,-63.4279,352.3,1.5,1.2,2021-01-02,1744,Aqua,MODIS,96,6.03,309.6,87.8,D,0
-21.7263,-63.4178,365.7,1.5,1.2,2021-01-02,1744,Aqua,MODIS,100,6.03,309.4,152.8,D,0
-21.6959,-63.4721,381.4,1.5,1.2,2021-01-02,1744,Aqua,MODIS,100,6.03,303.0,262.6,D,0
-21.7387,-63.4303,391.1,1.5,1.2,2021-01-02,1744,Aqua,MODIS,100,6.03,309.4,337.7,D,0
-21.6976,-63.4863,350.8,1.5,1.2,2021-01-02,1744,Aqua,MODIS,95,6.03,303.1,93.3,D,0
-18.8318,-63.0374,345.0,1.3,1.1,2021-01-02,1745,Aqua,MODIS,92,6.03,309.1,52.9,D,0
-18.0118,-62.2194,352.5,1.1,1.1,2021-01-02,1745,Aqua,MODIS,96,6.03,305.0,66.4,D,0
-17.8446,-61.3346,354.2,1.1,1.0,2021-01-02,1745,Aqua,MODIS,97,6.03,305.1,60.6,D,0
-16.4893,-60.831,354.9,1.0,1.0,2021-01-02,1746,Aqua,MODIS,97,6.03,301.5,65.1,D,0
-18.5253,-62.8931,316.9,1.5,1.2,2021-01-03,310,Terra,MODIS,94,6.03,280.3,26.7,N,0
-17.7948,-62.3955,327.6,1.7,1.3,2021-01-03,310,Terra,MODIS,100,6.03,293.8,51.2,N,0
-17.7975,-62.4113,345.2,1.7,1.3,2021-01-03,310,Terra,MODIS,100,6.03,294.6,108.5,N,0
-17.8911,-61.2902,328.0,2.0,1.4,2021-01-03,310,Terra,MODIS,100,6.03,293.1,69.1,N,0
-17.5688,-61.8706,327.6,1.9,1.3,2021-01-03,310,Terra,MODIS,100,6.03,293.8,60.2,N,0
-17.5717,-61.8879,351.3,1.9,1.3,2021-01-03,310,Terra,MODIS,100,6.03,294.1,156.4,N,0
-17.5568,-61.8729,326.3,1.9,1.3,2021-01-03,310,Terra,MODIS,100,6.03,293.0,56.4,N,0
-17.5598,-61.8902,334.4,1.9,1.3,2021-01-03,310,Terra,MODIS,100,6.03,292.9,81.8,N,0
-17.654,-61.8294,328.2,1.9,1.3,2021-01-03,310,Terra,MODIS,100,6.03,293.5,61.4,N,0
-18.5153,-58.4456,320.1,1.6,1.3,2021-01-04,214,Terra,MODIS,100,6.03,291.8,29.6,N,0
-18.5171,-58.4611,327.8,1.6,1.3,2021-01-04,214,Terra,MODIS,100,6.03,291.7,47.9,N,0
-18.5039,-58.447,325.3,1.6,1.3,2021-01-04,214,Terra,MODIS,100,6.03,291.4,40.6,N,0
-18.5057,-58.4625,319.2,1.6,1.3,2021-01-04,214,Terra,MODIS,94,6.03,291.2,29.2,N,0
-15.257,-60.963,356.0,1.0,1.0,2021-01-08,1420,Terra,MODIS,98,6.03,301.4,67.6,D,0
-16.6285,-60.5441,325.3,1.1,1.0,2021-01-09,233,Terra,MODIS,100,6.03,294.3,25.7,N,0
-16.6299,-60.5545,319.0,1.1,1.0,2021-01-09,233,Terra,MODIS,98,6.03,293.4,18.1,N,0
-17.2838,-60.5017,358.2,1.1,1.1,2021-01-09,233,Terra,MODIS,100,6.03,298.4,92.3,N,0
-17.2852,-60.5122,375.6,1.1,1.1,2021-01-09,233,Terra,MODIS,100,6.03,300.0,156.6,N,0
-17.2744,-60.5031,413.2,1.1,1.1,2021-01-09,233,Terra,MODIS,100,6.03,303.8,396.5,N,0
-17.2757,-60.5135,410.2,1.1,1.1,2021-01-09,233,Terra,MODIS,100,6.03,302.8,371.1,N,0
-16.6769,-59.6052,328.0,1.0,1.0,2021-01-09,233,Terra,MODIS,100,6.03,292.4,26.4,N,0
-16.4829,-60.832,317.2,1.1,1.1,2021-01-09,233,Terra,MODIS,95,6.03,290.5,17.5,N,0
-16.1792,-61.3174,324.4,1.2,1.1,2021-01-09,234,Terra,MODIS,100,6.03,293.7,26.8,N,0
-16.1806,-61.3285,348.9,1.2,1.1,2021-01-09,234,Terra,MODIS,100,6.03,294.2,75.5,N,0
-15.9668,-60.8685,315.1,1.1,1.1,2021-01-09,234,Terra,MODIS,91,6.03,294.0,13.7,N,0
-17.2703,-60.507,373.3,1.3,1.1,2021-01-09,539,Aqua,MODIS,100,6.03,297.7,176.3,N,0
-17.2719,-60.4952,349.2,1.3,1.1,2021-01-09,539,Aqua,MODIS,100,6.03,294.8,82.5,N,0
-17.2698,-60.5125,340.7,1.3,1.1,2021-01-09,539,Aqua,MODIS,100,6.03,293.9,59.9,N,0
