acq_date,number_of_fires
2001-01-02,1
2001-01-03,1
2001-01-07,1
2001-01-08,1
2001-01-14,1
2001-01-25,5
2001-01-29,2
2001-02-01,1
2001-02-08,6
2001-02-09,2
2001-02-10,2
2001-02-11,2
2001-03-07,4
2001-03-15,1
2001-03-30,1
2001-04-12,1
2001-04-13,2
2001-04-15,2
2001-04-18,3
2001-04-19,1
2001-04-20,2
2001-04-21,1
2001-04-29,4
2001-05-08,1
2001-05-21,1
2001-06-05,3
2001-06-06,5
2001-06-07,4
2001-06-09,1
2001-06-14,1
2001-07-04,9
2001-07-05,1
2001-07-08,1
2001-07-10,5
2001-07-11,6
2001-07-16,2
2001-07-17,9
2001-07-18,6
2001-07-19,2
2001-07-20,8
2001-07-21,2
2001-07-23,1
2001-07-24,7
2001-07-25,17
2001-07-28,3
2001-07-29,1
2001-07-30,1
2001-07-31,13
2001-08-01,5
2001-08-02,3
2001-08-03,8
2001-08-04,8
2001-08-05,10
2001-08-06,18
2001-08-07,16
2001-08-08,7
2001-08-09,12
2001-08-10,14
2001-08-11,19
2001-08-12,21
2001-08-13,40
2001-08-14,46
2001-08-15,21
2001-08-16,19
2001-08-17,2
2001-08-18,15
2001-08-19,8
2001-08-20,18
2001-08-21,15
2001-08-22,17
2001-08-23,19
2001-08-24,29
2001-08-25,70
2001-08-26,32
2001-08-27,69
2001-08-28,51
2001-08-29,45
2001-08-30,71
2001-08-31,21
2001-09-01,31
2001-09-02,34
2001-09-03,14
2001-09-04,14
2001-09-05,22
2001-09-06,25
2001-09-07,23
2001-09-08,47
2001-09-09,11
2001-09-10,15
2001-09-11,38
2001-09-12,77
2001-09-13,123
2001-09-14,37
2001-09-15,33
2001-09-16,3
2001-09-17,4
2001-09-18,10
2001-09-19,69
2001-09-20,43
2001-09-21,29
2001-09-22,11
2001-09-23,29
2001-09-24,24
2001-09-25,13
2001-09-26,17
2001-09-28,6
2001-09-29,3
2001-09-30,18
2001-10-01,41
2001-10-02,6
2001-10-03,3
2001-10-04,5
2001-10-05,29
2001-10-06,4
2001-10-07,20
2001-10-08,58
2001-10-09,4
2001-10-10,3
2001-10-11,6
2001-10-12,3
2001-10-15,2
2001-10-17,1
2001-10-19,14
2001-10-20,16
2001-10-21,7
2001-10-23,2
2001-10-25,7
2001-10-26,13
2001-10-27,24
2001-10-28,2
2001-10-29,3
2001-10-31,6
2001-11-06,2
2001-11-11,1
2001-11-13,1
2001-11-14,2
2001-11-20,2
2001-11-21,6
2001-11-22,1
2001-11-24,5
2001-11-30,1
2001-12-05,1
2001-12-06,1
2001-12-07,1
2001-12-16,2
2001-12-17,2
2001-12-19,1
2002-01-11,2
2002-01-12,1
2002-01-14,1
2002-01-16,1
2002-01-17,2
2002-01-19,3
2002-01-20,1
2002-01-21,1
2002-01-23,4
2002-01-29,2
2002-02-01,3
2002-03-10,1
2002-04-01,1
2002-04-04,1
2002-04-11,1
2002-04-20,1
2002-05-04,1
2002-05-08,1
2002-05-10,2
2002-05-13,3
2002-05-17,1
2002-05-24,1
2002-05-25,1
