acq_date,number_of_fires
2021-01-02,24
2021-01-03,9
2021-01-04,4
2021-01-08,1
2021-01-09,21
2021-01-10,3
2021-01-12,11
2021-01-13,1
2021-01-16,1
2021-01-20,3
2021-01-21,2
2021-01-22,6
2021-01-23,3
2021-01-27,2
2021-02-01,3
2021-02-03,2
2021-02-05,2
2021-02-06,4
2021-02-07,11
2021-02-08,13
2021-02-10,1
2021-02-20,1
2021-02-21,4
2021-02-22,5
2021-02-23,3
2021-02-24,7
2021-02-25,16
2021-02-28,5
2021-03-01,1
2021-03-02,26
2021-03-03,17
2021-03-04,1
2021-03-08,1
2021-03-10,3
2021-03-11,3
2021-03-12,15
2021-03-17,2
2021-03-25,2
2021-03-26,6
2021-03-28,2
2021-03-30,4
2021-03-31,3
2021-04-03,2
2021-04-08,2
2021-04-09,1
2021-04-10,5
2021-04-13,4
2021-04-15,15
2021-04-16,10
2021-04-17,10
2021-04-18,1
2021-04-20,10
2021-04-22,10
2021-04-23,1
2021-04-24,1
2021-04-27,3
2021-04-28,1
2021-04-29,25
2021-04-30,6
2021-05-01,5
2021-05-02,3
2021-05-03,21
2021-05-04,11
2021-05-05,10
2021-05-08,6
2021-05-10,8
2021-05-13,2
2021-05-14,3
2021-05-15,19
2021-05-16,1
2021-05-17,12
2021-05-18,7
2021-05-19,41
2021-05-20,19
2021-05-21,30
2021-05-22,14
2021-05-23,2
2021-05-25,1
2021-05-26,14
2021-05-27,7
2021-05-28,15
2021-05-29,24
2021-05-30,4
2021-05-31,5
2021-06-01,10
2021-06-02,58
2021-06-03,11
2021-06-04,77
2021-06-05,20
2021-06-06,6
2021-06-07,13
2021-06-08,5
2021-06-09,13
2021-06-11,2
2021-06-12,3
2021-06-13,23
2021-06-14,13
2021-06-15,34
2021-06-16,45
2021-06-17,11
2021-06-18,13
2021-06-19,4
2021-06-20,5
2021-06-21,2
2021-06-22,58
2021-06-23,58
2021-06-24,37
2021-06-25,177
2021-06-26,28
2021-06-27,158
2021-06-29,7
2021-06-30,84
2021-07-01,30
2021-07-02,75
2021-07-03,8
2021-07-04,28
2021-07-05,3
2021-07-06,59
2021-07-07,6
2021-07-08,15
2021-07-09,56
2021-07-10,21
2021-07-11,33
2021-07-12,13
2021-07-13,68
2021-07-14,13
2021-07-15,38
2021-07-16,32
2021-07-17,44
2021-07-18,5
2021-07-19,17
2021-07-20,101
2021-07-21,25
2021-07-22,89
2021-07-23,67
2021-07-24,142
2021-07-25,102
2021-07-26,57
2021-07-27,104
2021-07-28,1
2021-07-29,46
2021-07-30,77
2021-07-31,180
2021-08-01,52
2021-08-02,74
2021-08-03,33
2021-08-04,19
2021-08-05,92
2021-08-06,30
2021-08-07,221
2021-08-08,36
2021-08-09,29
2021-08-10,23
2021-08-11,27
2021-08-12,70
2021-08-13,15
2021-08-14,33
2021-08-15,44
2021-08-16,102
2021-08-17,63
2021-08-18,145
2021-08-19,531
2021-08-20,372
2021-08-21,302
2021-08-22,124
2021-08-23,348
2021-08-24,62
2021-08-25,43
2021-08-26,123
2021-08-27,13
2021-08-28,23
2021-08-29,14
2021-08-30,95
2021-08-31,27
2021-09-01,328
2021-09-02,110
2021-09-03,43
2021-09-04,91
2021-09-05,26
2021-09-06,119
2021-09-07,50
2021-09-08,170
2021-09-09,34
2021-09-10,10
2021-09-11,114
2021-09-12,71
2021-09-13,303
2021-09-14,62
2021-09-15,106
2021-09-16,28
2021-09-17,129
2021-09-18,174
2021-09-19,127
2021-09-20,338
2021-09-21,158
2021-09-22,342
2021-09-23,39
2021-09-24,201
2021-09-25,295
2021-09-26,349
2021-09-27,524
2021-09-28,152
2021-09-29,306
2021-09-30,122
2021-10-01,537
2021-10-02,162
2021-10-03,189
2021-10-04,134
2021-10-05,53
2021-10-06,118
2021-10-07,33
2021-10-08,250
2021-10-09,57
2021-10-10,232
2021-10-11,167
2021-10-12,69
2021-10-13,162
2021-10-14,97
2021-10-15,477
2021-10-16,4
2021-10-17,18
2021-10-18,7
2021-10-19,41
2021-10-20,188
2021-10-21,141
2021-10-22,545
2021-10-23,105
2021-10-24,265
2021-10-25,1
2021-10-26,18
2021-10-27,23
2021-10-28,79
2021-10-29,99
2021-10-30,71
2021-10-31,259
2021-11-01,24
2021-11-02,12
2021-11-03,7
2021-11-04,64
2021-11-05,155
2021-11-06,3
2021-11-07,5
2021-11-08,2
2021-11-09,86
2021-11-10,61
2021-11-11,8
2021-11-12,10
2021-11-13,23
2021-11-14,19
2021-11-18,1
2021-11-20,19
2021-11-21,36
2021-11-22,17
2021-11-23,36
2021-11-25,10
2021-11-26,1
2021-11-27,17
2021-11-28,24
2021-11-30,12
2021-12-01,7
2021-12-02,38
2021-12-03,4
2021-12-04,34
2021-12-08,3
2021-12-09,20
2021-12-10,4
2021-12-11,18
2021-12-16,1
2021-12-17,16
2021-12-18,11
2021-12-27,2
2021-12-29,7
2021-12-30,18
2021-12-31,11
